availability,location,total_sqft,bath,balcony,price,size_filled,price_per_sqft
Not Ready To Move,Electronic City Phase II,1056.0,2.0,1.0,39.07,2 BHK,3699.810606060606
Ready To Move,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4 BHK,4615.384615384615
Ready To Move,Uttarahalli,1440.0,2.0,3.0,62.0,3 BHK,4305.555555555556
Ready To Move,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3 BHK,6245.890861275477
Ready To Move,Kothanur,1200.0,2.0,1.0,51.0,2 BHK,4250.0
Ready To Move,Whitefield,1170.0,2.0,1.0,38.0,2 BHK,3247.863247863248
Not Ready To Move,Old Airport Road,2732.0,4.0,2.0,204.0,4 BHK,7467.0571010248905
Ready To Move,Rajaji Nagar,3300.0,4.0,2.0,600.0,4 BHK,18181.81818181818
Ready To Move,Marathahalli,1310.0,3.0,1.0,63.25,3 BHK,4828.244274809161
Not Ready To Move,Whitefield,1800.0,2.0,2.0,70.0,3 BHK,3888.8888888888887
Ready To Move,Whitefield,2785.0,5.0,3.0,295.0,4 BHK,10592.45960502693
Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2 BHK,3800.0
Ready To Move,Gottigere,1100.0,2.0,2.0,40.0,2 BHK,3636.3636363636365
Ready To Move,Sarjapur,2250.0,3.0,2.0,148.0,3 BHK,6577.777777777777
Ready To Move,Mysore Road,1175.0,2.0,2.0,73.5,2 BHK,6255.31914893617
Ready To Move,Bisuvanahalli,1180.0,3.0,2.0,48.0,3 BHK,4067.7966101694915
Ready To Move,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3 BHK,3896.103896103896
Ready To Move,Ramakrishnappa Layout,2770.0,4.0,2.0,290.0,3 BHK,10469.314079422382
Ready To Move,Manayata Tech Park,1100.0,2.0,2.0,48.0,2 BHK,4363.636363636364
Ready To Move,Kengeri,600.0,1.0,1.0,15.0,1 BHK,2500.0
Not Ready To Move,Binny Pete,1755.0,3.0,1.0,122.0,3 BHK,6951.5669515669515
Ready To Move,Thanisandra,2800.0,5.0,2.0,380.0,4 BHK,13571.42857142857
Ready To Move,Bellandur,1767.0,3.0,1.0,103.0,3 BHK,5829.088851160159
Not Ready To Move,Mangammanapalya,1250.0,3.0,2.0,56.0,3 BHK,4480.0
Ready To Move,Electronic City,660.0,1.0,1.0,23.1,2 BHK,3500.0
Not Ready To Move,Whitefield,1610.0,3.0,2.0,81.0,3 BHK,5031.055900621118
Not Ready To Move,Ramagondanahalli,1151.0,2.0,2.0,48.77,2 BHK,4237.185056472633
Ready To Move,Electronic City,1025.0,2.0,1.0,47.0,3 BHK,4585.365853658536
Ready To Move,Bisuvanahalli,1075.0,2.0,1.0,35.0,3 BHK,3255.813953488372
Ready To Move,Hebbal,1760.0,2.0,2.0,123.0,3 BHK,6988.636363636364
Ready To Move,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3 BHK,3389.84051978736
Ready To Move,Kasturi Nagar,1925.0,3.0,2.0,125.0,3 BHK,6493.506493506494
Not Ready To Move,Kanakpura Road,700.0,2.0,1.0,36.0,2 BHK,5142.857142857143
Ready To Move,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2 BHK,4252.336448598131
Ready To Move,Kundalahalli,1724.0,3.0,2.0,125.0,3 BHK,7250.580046403712
Ready To Move,Chikkalasandra,1290.0,2.0,2.0,56.12,3 BHK,4350.387596899225
Ready To Move,Uttarahalli,1143.0,2.0,2.0,45.0,2 BHK,3937.0078740157483
Ready To Move,Murugeshpalya,1296.0,2.0,1.0,81.0,2 BHK,6250.0
Not Ready To Move,Sarjapur  Road,1254.0,3.0,2.0,38.0,3 BHK,3030.3030303030305
Ready To Move,Ganga Nagar,600.0,1.0,0.0,38.0,1 BHK,6333.333333333333
